condition_concept_id,concept_name,occurrences,frequency
201254,Type 1 diabetes mellitus,10,0.0054288816503800215
443412,Type 1 diabetes mellitus without complication,28,0.01520086862106406
37016349,Hyperglycemia due to type 2 diabetes mellitus,104,0.05646036916395222
4098458,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),64,0.03474484256243214
200447,Gastrointestinal complication,46,0.0249728555917481
438120,Opioid dependence,23,0.01248642779587405
4300092,Cannabis-induced organic mental disorder,38,0.02062975027144408
436665,Bipolar disorder,29,0.015743756786102063
434613,Generalized anxiety disorder,95,0.05157437567861021
441553,Myoclonus,18,0.009771986970684038
4150299,Localization-related idiopathic epilepsy,20,0.010857763300760043
380094,Carpal tunnel syndrome,48,0.026058631921824105
374366,Sensorineural hearing loss,56,0.03040173724212812
4111566,Disorders of both mitral and tricuspid valves,41,0.02225841476655809
44782429,Chronic kidney disease due to hypertension,129,0.07003257328990228
4111412,"Tricuspid incompetence, non-rheumatic",24,0.013029315960912053
4111416,"Pulmonary incompetence, non-rheumatic",11,0.005971769815418024
4163710,Dilated cardiomyopathy,30,0.016286644951140065
4103295,Ventricular tachycardia,84,0.04560260586319218
36712986,Atypical atrial flutter,12,0.006514657980456026
4089462,Ventricular premature complex,141,0.07654723127035831
314962,Raynaud's disease,18,0.009771986970684038
435835,Non-infectious disorder of lymphatics,11,0.005971769815418024
257011,Acute upper respiratory infection,161,0.08740499457111835
4256228,Respiratory failure,59,0.03203040173724213
432941,Disorder of tongue,13,0.007057546145494028
4289526,Nonulcer dyspepsia,23,0.01248642779587405
4000609,Disorder of upper gastrointestinal tract,148,0.08034744842562432
4245842,Umbilical hernia,32,0.01737242128121607
201066,Obstruction of bile duct,59,0.03203040173724213
73008,Enthesopathy,30,0.016286644951140065
442752,Muscle pain,89,0.048317046688382194
40405599,Fibromyalgia,20,0.010857763300760043
4344387,Bone necrosis,17,0.009229098805646038
443601,Chronic kidney disease stage 2,93,0.050488599348534204
201620,Kidney stone,83,0.04505971769815418
201337,Disorder of bladder,47,0.025515743756786103
4329445,Noninflammatory disorder of uterus,27,0.014657980456026058
198212,Spotting per vagina in pregnancy,11,0.005971769815418024
81636,Excessive fetal growth affecting management of mother,14,0.00760043431053203
434111,Oligohydramnios,12,0.006514657980456026
4143187,Anomaly of placenta,12,0.006514657980456026
434708,Cord around neck with compression,11,0.005971769815418024
45757092,Anemia in mother complicating childbirth,17,0.009229098805646038
4060429,"Disease of the respiratory system complicating pregnancy, childbirth and/or the puerperium",17,0.009229098805646038
192450,Retention of urine,131,0.07111834961997829
37311061,COVID-19,166,0.09011943539630836
432441,Finding of length of gestation,51,0.02768729641693811
4242241,"Gestation period, 10 weeks",14,0.00760043431053203
4174506,"Gestation period, 11 weeks",16,0.008686210640608035
